SOAP.k25.C1045664	SOAP.k25.C1045664^POLX_TOBAC
SPADES.k35.NODE_120099_length_313_cov_14.143885_g61801_i0	SPADES.k35.NODE_120099_length_313_cov_14.143885_g61801_i0^DUF707
SPADES.k35.NODE_120205_length_312_cov_26.657040_g61907_i0	SPADES.k35.NODE_120205_length_312_cov_26.657040_g61907_i0^LCB2_ROBPS
SPADES.k35.NODE_12020_length_3306_cov_94.492816_g2293_i2	SPADES.k35.NODE_12020_length_3306_cov_94.492816_g2293_i2^SBT22_ARATH^Inhibitor_I9
SPADES.k35.NODE_120312_length_311_cov_110.956522_g62014_i0	SPADES.k35.NODE_120312_length_311_cov_110.956522_g62014_i0^VRN1_ARATH
SPADES.k35.NODE_120319_length_311_cov_56.601449_g62021_i0	SPADES.k35.NODE_120319_length_311_cov_56.601449_g62021_i0^RL371_ORYSJ
SPADES.k35.NODE_120457_length_311_cov_5.797101_g62159_i0	SPADES.k35.NODE_120457_length_311_cov_5.797101_g62159_i0^EF1G1_ARATH
SPADES.k35.NODE_1205_length_5921_cov_115.253823_g436_i2	SPADES.k35.NODE_1205_length_5921_cov_115.253823_g436_i2^POLR1_ARATH^DCMC_RAT^MCD^Retrotran_gag_2
SPADES.k35.NODE_121216_length_310_cov_10.610909_g62918_i0	SPADES.k35.NODE_121216_length_310_cov_10.610909_g62918_i0^GLD2_HYPJE^Aldo_ket_red
SPADES.k35.NODE_121224_length_310_cov_10.560000_g62926_i0	SPADES.k35.NODE_121224_length_310_cov_10.560000_g62926_i0^NHL13_ARATH
SPADES.k35.NODE_12137_length_3294_cov_79.306536_g4399_i2	SPADES.k35.NODE_12137_length_3294_cov_79.306536_g4399_i2^PME51_ARATH^NTRA_ORYSJ^PMEI
SPADES.k35.NODE_12189_length_3290_cov_21.420891_g5201_i0	SPADES.k35.NODE_12189_length_3290_cov_21.420891_g5201_i0^PLDZ1_ARATH^PH^PLDc_2
SPADES.k35.NODE_12208_length_3288_cov_86.227482_g3616_i3	SPADES.k35.NODE_12208_length_3288_cov_86.227482_g3616_i3^PP6R3_CHICK^SAPS
SPADES.k35.NODE_122150_length_310_cov_8.301818_g63852_i0	SPADES.k35.NODE_122150_length_310_cov_8.301818_g63852_i0^PPI1_BRUA2
SPADES.k35.NODE_122418_length_310_cov_7.963636_g64120_i0	SPADES.k35.NODE_122418_length_310_cov_7.963636_g64120_i0^MDTA_CROTZ
SPADES.k35.NODE_12245_length_3286_cov_31.349123_g5218_i0	SPADES.k35.NODE_12245_length_3286_cov_31.349123_g5218_i0^KNL2_ARATH^SANTA
SPADES.k35.NODE_122498_length_310_cov_7.647273_g64200_i0	SPADES.k35.NODE_122498_length_310_cov_7.647273_g64200_i0^ZMAT1_HUMAN
SPADES.k35.NODE_122870_length_310_cov_7.407273_g64572_i0	SPADES.k35.NODE_122870_length_310_cov_7.407273_g64572_i0^NDRA_DICDI
SPADES.k35.NODE_122897_length_310_cov_7.389091_g64599_i0	SPADES.k35.NODE_122897_length_310_cov_7.389091_g64599_i0^DUF5923
SPADES.k35.NODE_122920_length_310_cov_7.367273_g64622_i0	SPADES.k35.NODE_122920_length_310_cov_7.367273_g64622_i0^ARF_AJECA
SPADES.k35.NODE_122984_length_310_cov_7.301818_g64686_i0	SPADES.k35.NODE_122984_length_310_cov_7.301818_g64686_i0^TRAT_AMIAI
SPADES.k35.NODE_123381_length_310_cov_6.690909_g65083_i0	SPADES.k35.NODE_123381_length_310_cov_6.690909_g65083_i0^AHL20_ARATH^PCC
SPADES.k35.NODE_1233_length_5894_cov_91.051374_g207_i1	SPADES.k35.NODE_1233_length_5894_cov_91.051374_g207_i1^ACOX2_ARATH^APSR1_ARATH^Acyl-CoA_dh_M^DUF630
SPADES.k35.NODE_12351_length_3275_cov_92.087346_g2045_i2	SPADES.k35.NODE_12351_length_3275_cov_92.087346_g2045_i2^FRS3_ARATH^FAR1
SPADES.k35.NODE_123837_length_310_cov_6.472727_g65539_i0	SPADES.k35.NODE_123837_length_310_cov_6.472727_g65539_i0^LRR_1
SPADES.k35.NODE_123862_length_310_cov_6.436364_g65564_i0	SPADES.k35.NODE_123862_length_310_cov_6.436364_g65564_i0^AZPB2_ASPTN
SPADES.k35.NODE_123878_length_310_cov_6.410909_g65580_i0	SPADES.k35.NODE_123878_length_310_cov_6.410909_g65580_i0^IQD2_ARATH^DUF4005
SPADES.k35.NODE_123903_length_310_cov_6.385455_g65605_i0	SPADES.k35.NODE_123903_length_310_cov_6.385455_g65605_i0^GLYA_THEFY^SHMT
SPADES.k35.NODE_124025_length_310_cov_6.181818_g65727_i0	SPADES.k35.NODE_124025_length_310_cov_6.181818_g65727_i0^PGSA_ECO57
SPADES.k35.NODE_12409_length_3271_cov_99.168418_g4528_i2	SPADES.k35.NODE_12409_length_3271_cov_99.168418_g4528_i2^Y3148_ARATH^LRR_8
SPADES.k35.NODE_124109_length_310_cov_5.854545_g65811_i0	SPADES.k35.NODE_124109_length_310_cov_5.854545_g65811_i0^RHO_ALLVD^RHO_CHRVO
SPADES.k35.NODE_124557_length_310_cov_5.840000_g66259_i0	SPADES.k35.NODE_124557_length_310_cov_5.840000_g66259_i0^CNR8_MAIZE
SPADES.k35.NODE_124610_length_310_cov_5.825455_g66312_i0	SPADES.k35.NODE_124610_length_310_cov_5.825455_g66312_i0^PXPA_ARTS2^LamB_YcsF
SPADES.k35.NODE_124618_length_310_cov_5.821818_g66320_i0	SPADES.k35.NODE_124618_length_310_cov_5.821818_g66320_i0^CHOMT_MEDSA
SPADES.k35.NODE_124652_length_310_cov_5.810909_g66354_i0	SPADES.k35.NODE_124652_length_310_cov_5.810909_g66354_i0^RFA1A_ARATH
SPADES.k35.NODE_124800_length_310_cov_5.760000_g66502_i0	SPADES.k35.NODE_124800_length_310_cov_5.760000_g66502_i0^ECH_1
SPADES.k35.NODE_125018_length_310_cov_5.672727_g66720_i0	SPADES.k35.NODE_125018_length_310_cov_5.672727_g66720_i0^CN165_HUMAN
SPADES.k35.NODE_12523_length_3261_cov_126.864228_g5326_i0	SPADES.k35.NODE_12523_length_3261_cov_126.864228_g5326_i0^ECT2_ARATH^YTH
SPADES.k35.NODE_125493_length_310_cov_5.018182_g67195_i0	SPADES.k35.NODE_125493_length_310_cov_5.018182_g67195_i0^RL24_PRUAV
SPADES.k35.NODE_12596_length_3256_cov_25.666563_g1315_i3	SPADES.k35.NODE_12596_length_3256_cov_25.666563_g1315_i3^POLR1_ARATH
SPADES.k35.NODE_126709_length_310_cov_4.687273_g68411_i0	SPADES.k35.NODE_126709_length_310_cov_4.687273_g68411_i0^RL15_RHIWR
SPADES.k35.NODE_126759_length_310_cov_4.610909_g68461_i0	SPADES.k35.NODE_126759_length_310_cov_4.610909_g68461_i0^BPHD_COMTE
SPADES.k35.NODE_126762_length_310_cov_4.607273_g68464_i0	SPADES.k35.NODE_126762_length_310_cov_4.607273_g68464_i0^PHAF1_ARATH^PHAF1
SPADES.k35.NODE_126941_length_310_cov_4.189091_g68643_i0	SPADES.k35.NODE_126941_length_310_cov_4.189091_g68643_i0^KLCR3_ARATH
SPADES.k35.NODE_12697_length_3247_cov_83.710461_g5404_i0	SPADES.k35.NODE_12697_length_3247_cov_83.710461_g5404_i0^Tic22
SPADES.k35.NODE_12746_length_3243_cov_84.724439_g2167_i3	SPADES.k35.NODE_12746_length_3243_cov_84.724439_g2167_i3^BH122_ARATH^Ank_2
SPADES.k35.NODE_12773_length_3240_cov_91.634009_g4905_i1	SPADES.k35.NODE_12773_length_3240_cov_91.634009_g4905_i1^MYOB2_ARATH^Zein-binding
SPADES.k35.NODE_12799_length_3238_cov_24.342491_g4304_i2	SPADES.k35.NODE_12799_length_3238_cov_24.342491_g4304_i2^PR5K_ARATH^LRL25_ARATH^PK_Tyr_Ser-Thr
SPADES.k35.NODE_127_length_8828_cov_51.658478_g72_i0	SPADES.k35.NODE_127_length_8828_cov_51.658478_g72_i0^ATR_ARATH^UME
SPADES.k35.NODE_128106_length_310_cov_4.127273_g69808_i0	SPADES.k35.NODE_128106_length_310_cov_4.127273_g69808_i0^LORF2_HUMAN
SPADES.k35.NODE_128318_length_310_cov_4.083636_g70020_i0	SPADES.k35.NODE_128318_length_310_cov_4.083636_g70020_i0^RS24_SPOFR
SPADES.k35.NODE_128444_length_310_cov_4.058182_g70146_i0	SPADES.k35.NODE_128444_length_310_cov_4.058182_g70146_i0^NAC98_ARATH^NAM
SPADES.k35.NODE_128555_length_310_cov_4.018182_g70257_i0	SPADES.k35.NODE_128555_length_310_cov_4.018182_g70257_i0^EPSC_RALN1^Epimerase_2
SPADES.k35.NODE_12875_length_3231_cov_49.816020_g2050_i2	SPADES.k35.NODE_12875_length_3231_cov_49.816020_g2050_i2^PRR73_ORYSI^Retrotran_gag_2
SPADES.k35.NODE_12880_length_3230_cov_109.881064_g5468_i0	SPADES.k35.NODE_12880_length_3230_cov_109.881064_g5468_i0^SUS_SOYBN^Sucrose_synth
SPADES.k35.NODE_128851_length_310_cov_3.723636_g70553_i0	SPADES.k35.NODE_128851_length_310_cov_3.723636_g70553_i0^RS16_NEUCR^Ribosomal_S9
SPADES.k35.NODE_12887_length_3230_cov_74.586228_g2124_i3	SPADES.k35.NODE_12887_length_3230_cov_74.586228_g2124_i3^U89A2_ARATH^PORR^UDPGT
SPADES.k35.NODE_128940_length_309_cov_107.481752_g70642_i0	SPADES.k35.NODE_128940_length_309_cov_107.481752_g70642_i0^ENOXE_FRAAN
SPADES.k35.NODE_128981_length_309_cov_13.080292_g70683_i0	SPADES.k35.NODE_128981_length_309_cov_13.080292_g70683_i0^Peptidase_S9
SPADES.k35.NODE_129121_length_309_cov_6.645985_g70823_i0	SPADES.k35.NODE_129121_length_309_cov_6.645985_g70823_i0^SD113_ARATH
SPADES.k35.NODE_129300_length_309_cov_3.777372_g71002_i0	SPADES.k35.NODE_129300_length_309_cov_3.777372_g71002_i0^SYA_STAEQ^tRNA-synt_2c
SPADES.k35.NODE_129342_length_308_cov_34.018315_g71044_i0	SPADES.k35.NODE_129342_length_308_cov_34.018315_g71044_i0^SGT2_SOYBN
SPADES.k35.NODE_129679_length_307_cov_5.577206_g71381_i0	SPADES.k35.NODE_129679_length_307_cov_5.577206_g71381_i0^BGAL3_ARATH
SPADES.k35.NODE_129816_length_307_cov_1.562500_g71518_i0	SPADES.k35.NODE_129816_length_307_cov_1.562500_g71518_i0^CSCL2_ARATH^PHM7_cyt
SPADES.k35.NODE_129838_length_306_cov_29.819188_g71540_i0	SPADES.k35.NODE_129838_length_306_cov_29.819188_g71540_i0^TMA7_CAEBR
SPADES.k35.NODE_130015_length_306_cov_1.424354_g71717_i0	SPADES.k35.NODE_130015_length_306_cov_1.424354_g71717_i0^DRM1_PEA
SPADES.k35.NODE_13002_length_3219_cov_112.461997_g5515_i0	SPADES.k35.NODE_13002_length_3219_cov_112.461997_g5515_i0^SMG7_ARATH^EST1
SPADES.k35.NODE_13006_length_3219_cov_81.842337_g815_i10	SPADES.k35.NODE_13006_length_3219_cov_81.842337_g815_i10^CXXS1_ARATH^Thioredoxin
SPADES.k35.NODE_13030_length_3217_cov_89.599937_g5139_i1	SPADES.k35.NODE_13030_length_3217_cov_89.599937_g5139_i1^CLPD_ARATH^Clp_N
SPADES.k35.NODE_130411_length_303_cov_6.160448_g72113_i0	SPADES.k35.NODE_130411_length_303_cov_6.160448_g72113_i0^Transpeptidase
SPADES.k35.NODE_130595_length_301_cov_66.992481_g72297_i0	SPADES.k35.NODE_130595_length_301_cov_66.992481_g72297_i0^CCH_ARATH
SPADES.k35.NODE_130717_length_300_cov_43.935849_g72419_i0	SPADES.k35.NODE_130717_length_300_cov_43.935849_g72419_i0^GOGC6_ARATH
SPADES.k35.NODE_13092_length_3212_cov_70.653447_g5542_i0	SPADES.k35.NODE_13092_length_3212_cov_70.653447_g5542_i0^BIN4_ARATH
SPADES.k35.NODE_131620_length_299_cov_8.575758_g73322_i0	SPADES.k35.NODE_131620_length_299_cov_8.575758_g73322_i0^G2OX2_PEA
SPADES.k35.NODE_131708_length_299_cov_7.946970_g73410_i0	SPADES.k35.NODE_131708_length_299_cov_7.946970_g73410_i0^POLR2_ARATH
SPADES.k35.NODE_132681_length_299_cov_5.996212_g74383_i0	SPADES.k35.NODE_132681_length_299_cov_5.996212_g74383_i0^ARP9_ARATH
SPADES.k35.NODE_132989_length_299_cov_5.227273_g74691_i0	SPADES.k35.NODE_132989_length_299_cov_5.227273_g74691_i0^DAPA_SOYBN
SPADES.k35.NODE_133208_length_299_cov_5.189394_g74910_i0	SPADES.k35.NODE_133208_length_299_cov_5.189394_g74910_i0^H33_ARATH
SPADES.k35.NODE_1337_length_5765_cov_91.300524_g425_i3	SPADES.k35.NODE_1337_length_5765_cov_91.300524_g425_i3^MOS1_ARATH
SPADES.k35.NODE_13419_length_3186_cov_26.139956_g5655_i0	SPADES.k35.NODE_13419_length_3186_cov_26.139956_g5655_i0^RL393_ORYSJ
SPADES.k35.NODE_1342_length_5762_cov_66.136197_g187_i2	SPADES.k35.NODE_1342_length_5762_cov_66.136197_g187_i2^BAD1_ARATH^Ank_2
SPADES.k35.NODE_135225_length_298_cov_5.228137_g76927_i0	SPADES.k35.NODE_135225_length_298_cov_5.228137_g76927_i0^LLDP_ECOLI
SPADES.k35.NODE_1353_length_5757_cov_42.222300_g687_i0	SPADES.k35.NODE_1353_length_5757_cov_42.222300_g687_i0^REC1_ARATH^eIF3_p135
SPADES.k35.NODE_13578_length_3173_cov_96.637349_g511_i12	SPADES.k35.NODE_13578_length_3173_cov_96.637349_g511_i12^KTN82_ARATH^WD40
SPADES.k35.NODE_13613_length_3170_cov_82.776077_g2330_i2	SPADES.k35.NODE_13613_length_3170_cov_82.776077_g2330_i2^PTL_ARATH^Myb_DNA-bind_4
SPADES.k35.NODE_136476_length_296_cov_7.900383_g78178_i0	SPADES.k35.NODE_136476_length_296_cov_7.900383_g78178_i0^POLX_TOBAC
SPADES.k35.NODE_136543_length_296_cov_7.049808_g78245_i0	SPADES.k35.NODE_136543_length_296_cov_7.049808_g78245_i0^POL3_DROME
SPADES.k35.NODE_136615_length_296_cov_6.701149_g78317_i0	SPADES.k35.NODE_136615_length_296_cov_6.701149_g78317_i0^POL_FMVD
SPADES.k35.NODE_136731_length_296_cov_5.827586_g78433_i0	SPADES.k35.NODE_136731_length_296_cov_5.827586_g78433_i0^RIBB_NEIMB
SPADES.k35.NODE_136738_length_296_cov_5.727969_g78440_i0	SPADES.k35.NODE_136738_length_296_cov_5.727969_g78440_i0^EDD_ZYMMO
SPADES.k35.NODE_1371_length_5741_cov_80.201192_g696_i0	SPADES.k35.NODE_1371_length_5741_cov_80.201192_g696_i0^NFRKB_MOUSE
SPADES.k35.NODE_137553_length_295_cov_4.853846_g79255_i0	SPADES.k35.NODE_137553_length_295_cov_4.853846_g79255_i0^R35A3_ARATH
SPADES.k35.NODE_137757_length_294_cov_12.216216_g79459_i0	SPADES.k35.NODE_137757_length_294_cov_12.216216_g79459_i0^RPE_SOLTU
SPADES.k35.NODE_138871_length_292_cov_7.159533_g80573_i0	SPADES.k35.NODE_138871_length_292_cov_7.159533_g80573_i0^RKS1_ARATH
SPADES.k35.NODE_13895_length_3147_cov_42.086118_g5833_i0	SPADES.k35.NODE_13895_length_3147_cov_42.086118_g5833_i0^ARF5_ARATH
SPADES.k35.NODE_13896_length_3147_cov_39.386568_g998_i9	SPADES.k35.NODE_13896_length_3147_cov_39.386568_g998_i9^ATL73_ARATH^zf-RING_2
SPADES.k35.NODE_138973_length_292_cov_5.365759_g80675_i0	SPADES.k35.NODE_138973_length_292_cov_5.365759_g80675_i0^M300_ARATH
SPADES.k35.NODE_139124_length_292_cov_3.579767_g80826_i0	SPADES.k35.NODE_139124_length_292_cov_3.579767_g80826_i0^PMP3_GIBZE
SPADES.k35.NODE_13953_length_3142_cov_33.184100_g5214_i2	SPADES.k35.NODE_13953_length_3142_cov_33.184100_g5214_i2^CDC2C_ARATH^Pkinase
SPADES.k35.NODE_139606_length_291_cov_4.031250_g81308_i0	SPADES.k35.NODE_139606_length_291_cov_4.031250_g81308_i0^CXXS1_ARATH
SPADES.k35.NODE_139721_length_291_cov_2.695312_g81423_i0	SPADES.k35.NODE_139721_length_291_cov_2.695312_g81423_i0^LIN1_NYCCO
SPADES.k35.NODE_14024_length_3136_cov_96.097388_g2953_i4	SPADES.k35.NODE_14024_length_3136_cov_96.097388_g2953_i4^UBC24_ARATH^UQ_con
SPADES.k35.NODE_14032_length_3136_cov_40.120929_g1091_i11	SPADES.k35.NODE_14032_length_3136_cov_40.120929_g1091_i11^RPS6C_ARATH
SPADES.k35.NODE_140350_length_289_cov_7.177165_g82052_i0	SPADES.k35.NODE_140350_length_289_cov_7.177165_g82052_i0^RHA2A_ARATH
SPADES.k35.NODE_14043_length_3134_cov_91.426589_g1990_i3	SPADES.k35.NODE_14043_length_3134_cov_91.426589_g1990_i3^FTSI4_ARATH^RuvB_N
SPADES.k35.NODE_140503_length_289_cov_4.216535_g82205_i0	SPADES.k35.NODE_140503_length_289_cov_4.216535_g82205_i0^POLX_TOBAC
SPADES.k35.NODE_140713_length_289_cov_0.921260_g82415_i0	SPADES.k35.NODE_140713_length_289_cov_0.921260_g82415_i0^FRL4A_ARATH
SPADES.k35.NODE_14098_length_3130_cov_86.344750_g5892_i0	SPADES.k35.NODE_14098_length_3130_cov_86.344750_g5892_i0^COPD_ARATH^Adap_comp_sub
SPADES.k35.NODE_14119_length_3129_cov_33.601487_g922_i5	SPADES.k35.NODE_14119_length_3129_cov_33.601487_g922_i5^DRL40_ARATH^FTIP1_ARATH^C2^NB-ARC
SPADES.k35.NODE_1415_length_5711_cov_64.977977_g298_i1	SPADES.k35.NODE_1415_length_5711_cov_64.977977_g298_i1^EDM2_ARATH
SPADES.k35.NODE_14162_length_3126_cov_44.164672_g3121_i1	SPADES.k35.NODE_14162_length_3126_cov_44.164672_g3121_i1^CTR1_ARATH^PK_Tyr_Ser-Thr
SPADES.k35.NODE_14272_length_3117_cov_72.523037_g5952_i0	SPADES.k35.NODE_14272_length_3117_cov_72.523037_g5952_i0^SPC24_ARATH
SPADES.k35.NODE_14274_length_3117_cov_26.728748_g3214_i4	SPADES.k35.NODE_14274_length_3117_cov_26.728748_g3214_i4^SYDM_ARATH
SPADES.k35.NODE_14288_length_3115_cov_121.505844_g1742_i6	SPADES.k35.NODE_14288_length_3115_cov_121.505844_g1742_i6^MAA3_ARATH^DUF6469
SPADES.k35.NODE_14291_length_3115_cov_89.298052_g724_i6	SPADES.k35.NODE_14291_length_3115_cov_89.298052_g724_i6^PUB62_ARATH
SPADES.k35.NODE_142925_length_283_cov_5.955645_g84626_i0	SPADES.k35.NODE_142925_length_283_cov_5.955645_g84626_i0^LERK2_ORYSI
SPADES.k35.NODE_143380_length_282_cov_4.696356_g85081_i0	SPADES.k35.NODE_143380_length_282_cov_4.696356_g85081_i0^YG31B_YEAST
SPADES.k35.NODE_14344_length_3111_cov_19.179129_g5980_i0	SPADES.k35.NODE_14344_length_3111_cov_19.179129_g5980_i0^POL3_DROME^RVT_1^Retrotrans_gag
SPADES.k35.NODE_14386_length_3108_cov_36.332899_g3112_i3	SPADES.k35.NODE_14386_length_3108_cov_36.332899_g3112_i3^POL2_DROME^RVT_1
SPADES.k35.NODE_143884_length_281_cov_2.658537_g85585_i0	SPADES.k35.NODE_143884_length_281_cov_2.658537_g85585_i0^ILVI_ECOLI
SPADES.k35.NODE_14395_length_3107_cov_87.901693_g537_i6	SPADES.k35.NODE_14395_length_3107_cov_87.901693_g537_i6^GBA2_MOUSE^Glyco_hydr_116N
SPADES.k35.NODE_144333_length_279_cov_35.627049_g86034_i0	SPADES.k35.NODE_144333_length_279_cov_35.627049_g86034_i0^ANX4_FRAAN
SPADES.k35.NODE_144459_length_279_cov_5.815574_g86160_i0	SPADES.k35.NODE_144459_length_279_cov_5.815574_g86160_i0^LBD18_ARATH
SPADES.k35.NODE_144775_length_278_cov_7.506173_g86476_i0	SPADES.k35.NODE_144775_length_278_cov_7.506173_g86476_i0^CYPR1_CYNCA
SPADES.k35.NODE_144906_length_278_cov_3.786008_g86607_i0	SPADES.k35.NODE_144906_length_278_cov_3.786008_g86607_i0^LORF2_HUMAN
SPADES.k35.NODE_14502_length_3100_cov_90.371941_g421_i18	SPADES.k35.NODE_14502_length_3100_cov_90.371941_g421_i18^YGI3_SCHPO^WD40
SPADES.k35.NODE_145080_length_277_cov_15.706612_g86781_i0	SPADES.k35.NODE_145080_length_277_cov_15.706612_g86781_i0^DNJH2_ALLPO
SPADES.k35.NODE_145186_length_277_cov_6.061983_g86887_i0	SPADES.k35.NODE_145186_length_277_cov_6.061983_g86887_i0^PABP8_ARATH
SPADES.k35.NODE_14557_length_3096_cov_9.049657_g2930_i4	SPADES.k35.NODE_14557_length_3096_cov_9.049657_g2930_i4^TF212_SCHPO^M860_ARATH^POL_FLV^Integrase_H2C2^RT_RNaseH_2^rve
SPADES.k35.NODE_1456_length_5675_cov_51.531560_g316_i1	SPADES.k35.NODE_1456_length_5675_cov_51.531560_g316_i1^HBS1L_RAT^SC23F_ARATH^GTP_EFTU^Sec23_trunk
SPADES.k35.NODE_14583_length_3094_cov_43.176855_g4221_i1	SPADES.k35.NODE_14583_length_3094_cov_43.176855_g4221_i1^CKL11_ARATH
SPADES.k35.NODE_14601_length_3093_cov_32.201439_g5467_i1	SPADES.k35.NODE_14601_length_3093_cov_32.201439_g5467_i1^Y1684_ARATH^LRRNT_2
SPADES.k35.NODE_14618_length_3091_cov_80.553338_g3680_i3	SPADES.k35.NODE_14618_length_3091_cov_80.553338_g3680_i3^DCP2_ARATH^YG31B_YEAST^rve
SPADES.k35.NODE_14720_length_3084_cov_79.192522_g6114_i0	SPADES.k35.NODE_14720_length_3084_cov_79.192522_g6114_i0^C3H66_ARATH^Ank_2
SPADES.k35.NODE_1472_length_5659_cov_60.570768_g717_i1	SPADES.k35.NODE_1472_length_5659_cov_60.570768_g717_i1^AOC_ORYSI^Allene_ox_cyc
SPADES.k35.NODE_14766_length_3080_cov_92.485057_g774_i3	SPADES.k35.NODE_14766_length_3080_cov_92.485057_g774_i3^Y4837_ARATH^KH_1
SPADES.k35.NODE_14830_length_3074_cov_84.363606_g6154_i0	SPADES.k35.NODE_14830_length_3074_cov_84.363606_g6154_i0^LYK3_ARATH^LysM
SPADES.k35.NODE_14854_length_3073_cov_49.134957_g6163_i0	SPADES.k35.NODE_14854_length_3073_cov_49.134957_g6163_i0^Y305_SYNY3^SNARE_assoc
SPADES.k35.NODE_14861_length_3072_cov_73.179124_g6166_i0	SPADES.k35.NODE_14861_length_3072_cov_73.179124_g6166_i0^CSPL6_ARATH
SPADES.k35.NODE_14875_length_3071_cov_74.468379_g6169_i0	SPADES.k35.NODE_14875_length_3071_cov_74.468379_g6169_i0^RAA1C_ARATH^Ras
SPADES.k35.NODE_14903_length_3069_cov_40.117996_g6177_i0	SPADES.k35.NODE_14903_length_3069_cov_40.117996_g6177_i0^SKOR_ARATH^Ion_trans
SPADES.k35.NODE_14932_length_3067_cov_44.269789_g6184_i0	SPADES.k35.NODE_14932_length_3067_cov_44.269789_g6184_i0^Retrotran_gag_2
SPADES.k35.NODE_149510_length_265_cov_1.000000_g91211_i0	SPADES.k35.NODE_149510_length_265_cov_1.000000_g91211_i0^Y2416_ARATH
SPADES.k35.NODE_14976_length_3064_cov_69.409706_g6205_i0	SPADES.k35.NODE_14976_length_3064_cov_69.409706_g6205_i0^MDIS2_ARATH^LRRNT_2
SPADES.k35.NODE_149927_length_264_cov_1.000000_g91628_i0	SPADES.k35.NODE_149927_length_264_cov_1.000000_g91628_i0^BH096_ARATH
SPADES.k35.NODE_150249_length_263_cov_1.333333_g91950_i0	SPADES.k35.NODE_150249_length_263_cov_1.333333_g91950_i0^APT1_ARATH
SPADES.k35.NODE_15049_length_3057_cov_62.953342_g6237_i0	SPADES.k35.NODE_15049_length_3057_cov_62.953342_g6237_i0^CALR_BETVU^Calreticulin
SPADES.k35.NODE_15070_length_3055_cov_94.614901_g4290_i3	SPADES.k35.NODE_15070_length_3055_cov_94.614901_g4290_i3^PUB33_ARATH^Pkinase
SPADES.k35.NODE_151289_length_260_cov_1.822222_g92990_i0	SPADES.k35.NODE_151289_length_260_cov_1.822222_g92990_i0^LECB_STYJP
SPADES.k35.NODE_151369_length_259_cov_70.919643_g93070_i0	SPADES.k35.NODE_151369_length_259_cov_70.919643_g93070_i0^AGO4B_ORYSJ
SPADES.k35.NODE_15221_length_3044_cov_106.938185_g2982_i1	SPADES.k35.NODE_15221_length_3044_cov_106.938185_g2982_i1^IST1L_DICDI^Ist1
SPADES.k35.NODE_15230_length_3044_cov_67.043204_g6295_i0	SPADES.k35.NODE_15230_length_3044_cov_67.043204_g6295_i0^APRR1_ARATH^CCT^Response_reg
SPADES.k35.NODE_1523_length_5620_cov_63.561862_g759_i0	SPADES.k35.NODE_1523_length_5620_cov_63.561862_g759_i0^SRP_PHAVU^MUTS2_SYNY3^MSSS^REF
SPADES.k35.NODE_15334_length_3036_cov_92.223592_g6330_i0	SPADES.k35.NODE_15334_length_3036_cov_92.223592_g6330_i0^NHX6_ARATH^Na_H_Exchanger
SPADES.k35.NODE_15339_length_3036_cov_75.285238_g6332_i0	SPADES.k35.NODE_15339_length_3036_cov_75.285238_g6332_i0^CW15A_XENLA^Cwf_Cwc_15
SPADES.k35.NODE_15383_length_3033_cov_89.799867_g6348_i0	SPADES.k35.NODE_15383_length_3033_cov_89.799867_g6348_i0^LRX5_ARATH^LRX4_ARATH^LRRNT_2
SPADES.k35.NODE_15428_length_3030_cov_16.067780_g6368_i0	SPADES.k35.NODE_15428_length_3030_cov_16.067780_g6368_i0^POL2_DROME^YG31B_YEAST^Integrase_H2C2^RVT_1
SPADES.k35.NODE_15429_length_3029_cov_147.442886_g4674_i1	SPADES.k35.NODE_15429_length_3029_cov_147.442886_g4674_i1^ROQ1_NICBE^TIR
SPADES.k35.NODE_154303_length_251_cov_1.393519_g96004_i0	SPADES.k35.NODE_154303_length_251_cov_1.393519_g96004_i0^HSP72_SOLLC
SPADES.k35.NODE_15448_length_3028_cov_55.836619_g6377_i0	SPADES.k35.NODE_15448_length_3028_cov_55.836619_g6377_i0^TC159_ARATH^AIG1
SPADES.k35.NODE_154672_length_250_cov_1.013953_g96373_i0	SPADES.k35.NODE_154672_length_250_cov_1.013953_g96373_i0^NIPA3_ARATH
SPADES.k35.NODE_15494_length_3025_cov_41.193645_g484_i2	SPADES.k35.NODE_15494_length_3025_cov_41.193645_g484_i2^MSI4_ARATH
SPADES.k35.NODE_15496_length_3025_cov_19.992977_g6393_i0	SPADES.k35.NODE_15496_length_3025_cov_19.992977_g6393_i0^RFS2_ARATH^Raffinose_syn
SPADES.k35.NODE_154983_length_249_cov_1.018692_g96683_i0	SPADES.k35.NODE_154983_length_249_cov_1.018692_g96683_i0^ACR6_ARATH
SPADES.k35.NODE_155262_length_248_cov_1.023474_g96962_i0	SPADES.k35.NODE_155262_length_248_cov_1.023474_g96962_i0^CD48D_ARATH
SPADES.k35.NODE_155536_length_247_cov_1.245283_g97236_i0	SPADES.k35.NODE_155536_length_247_cov_1.245283_g97236_i0^TCTP_PEA
SPADES.k35.NODE_155882_length_246_cov_1.033175_g97582_i0	SPADES.k35.NODE_155882_length_246_cov_1.033175_g97582_i0^GBLP_MEDSA
SPADES.k35.NODE_15593_length_3018_cov_88.125712_g5851_i3	SPADES.k35.NODE_15593_length_3018_cov_88.125712_g5851_i3^Y1130_ARATH^B_lectin
