SOAP.k25.C390845	SOAP.k25.C390845^WRK27_ARATH
SPADES.k25.NODE_48100_length_650_cov_7.072000_g24610_i0	SPADES.k25.NODE_48100_length_650_cov_7.072000_g24610_i0^MDN1_ARATH^AAA_lid_7
SPADES.k25.NODE_48109_length_649_cov_96.838141_g19714_i1	SPADES.k25.NODE_48109_length_649_cov_96.838141_g19714_i1^PADRE
SPADES.k25.NODE_48118_length_649_cov_64.743590_g24625_i0	SPADES.k25.NODE_48118_length_649_cov_64.743590_g24625_i0^FBT6_ARATH^BT1
SPADES.k25.NODE_48124_length_649_cov_42.982372_g24631_i0	SPADES.k25.NODE_48124_length_649_cov_42.982372_g24631_i0^LRL25_ARATH^Pkinase
SPADES.k25.NODE_48140_length_648_cov_91.775281_g760_i4	SPADES.k25.NODE_48140_length_648_cov_91.775281_g760_i4^AIR9_ARATH
SPADES.k25.NODE_48170_length_647_cov_95.826367_g24662_i0	SPADES.k25.NODE_48170_length_647_cov_95.826367_g24662_i0^RS191_ARATH^Ribosomal_S19e
SPADES.k25.NODE_481_length_5029_cov_44.467826_g294_i0	SPADES.k25.NODE_481_length_5029_cov_44.467826_g294_i0^NU1M_OENBE^NU1M_WHEAT^LRR_1^NADHdh
SPADES.k25.NODE_48264_length_645_cov_28.545161_g24730_i0	SPADES.k25.NODE_48264_length_645_cov_28.545161_g24730_i0^M810_ARATH
SPADES.k25.NODE_4827_length_2901_cov_46.922809_g2695_i0	SPADES.k25.NODE_4827_length_2901_cov_46.922809_g2695_i0^PAH1_ARATH^Lipin_mid
SPADES.k25.NODE_4832_length_2899_cov_106.543145_g1709_i3	SPADES.k25.NODE_4832_length_2899_cov_106.543145_g1709_i3^BLH3_ARATH^POX
SPADES.k25.NODE_4833_length_2899_cov_102.673278_g2398_i1	SPADES.k25.NODE_4833_length_2899_cov_102.673278_g2398_i1^SART3_PONAB^RRM_1
SPADES.k25.NODE_48340_length_643_cov_23.233010_g24785_i0	SPADES.k25.NODE_48340_length_643_cov_23.233010_g24785_i0^LRR_1
SPADES.k25.NODE_48341_length_643_cov_22.084142_g24786_i0	SPADES.k25.NODE_48341_length_643_cov_22.084142_g24786_i0^JGB_ARATH^WD40
SPADES.k25.NODE_48343_length_643_cov_15.409385_g24788_i0	SPADES.k25.NODE_48343_length_643_cov_15.409385_g24788_i0^TONSL_CITUN^SNAP
SPADES.k25.NODE_48347_length_643_cov_11.666667_g24792_i0	SPADES.k25.NODE_48347_length_643_cov_11.666667_g24792_i0^PP184_ARATH^PPR
SPADES.k25.NODE_48357_length_642_cov_121.312804_g11951_i1	SPADES.k25.NODE_48357_length_642_cov_121.312804_g11951_i1^PP2A_MEDSA
SPADES.k25.NODE_48382_length_642_cov_22.923825_g24815_i0	SPADES.k25.NODE_48382_length_642_cov_22.923825_g24815_i0^SCP25_ARATH^Peptidase_S10
SPADES.k25.NODE_483_length_5024_cov_88.251450_g296_i0	SPADES.k25.NODE_483_length_5024_cov_88.251450_g296_i0^Transpos_assoc^Transposase_21^Transposase_24
SPADES.k25.NODE_48425_length_641_cov_11.681818_g24851_i0	SPADES.k25.NODE_48425_length_641_cov_11.681818_g24851_i0^MSH5_ARATH^MutS_V
SPADES.k25.NODE_48451_length_640_cov_22.658537_g24867_i0	SPADES.k25.NODE_48451_length_640_cov_22.658537_g24867_i0^KN7N_ARATH^Kinesin
SPADES.k25.NODE_48481_length_639_cov_42.496743_g24892_i0	SPADES.k25.NODE_48481_length_639_cov_42.496743_g24892_i0^C86A1_ARATH
SPADES.k25.NODE_48489_length_639_cov_18.286645_g24900_i0	SPADES.k25.NODE_48489_length_639_cov_18.286645_g24900_i0^PP2A4_ORYSI
SPADES.k25.NODE_4848_length_2897_cov_98.538997_g2707_i0	SPADES.k25.NODE_4848_length_2897_cov_98.538997_g2707_i0^DNAJ_DEIRA^DnaJ
SPADES.k25.NODE_48490_length_639_cov_18.162866_g24901_i0	SPADES.k25.NODE_48490_length_639_cov_18.162866_g24901_i0^ORC5_ARATH^AAA_16
SPADES.k25.NODE_48491_length_639_cov_17.796417_g24902_i0	SPADES.k25.NODE_48491_length_639_cov_17.796417_g24902_i0^PP200_ARATH^PPR_2
SPADES.k25.NODE_48566_length_637_cov_21.851307_g24961_i0	SPADES.k25.NODE_48566_length_637_cov_21.851307_g24961_i0^PP430_ARATH^PPR
SPADES.k25.NODE_48569_length_637_cov_20.336601_g24964_i0	SPADES.k25.NODE_48569_length_637_cov_20.336601_g24964_i0^PP434_ARATH^PPR
SPADES.k25.NODE_48571_length_637_cov_17.926471_g24966_i0	SPADES.k25.NODE_48571_length_637_cov_17.926471_g24966_i0^RQL1_ARATH^Helicase_C
SPADES.k25.NODE_48574_length_636_cov_174.207856_g24969_i0	SPADES.k25.NODE_48574_length_636_cov_174.207856_g24969_i0^UBI1P_NICSY^Rad60-SLD
SPADES.k25.NODE_48614_length_635_cov_45.222951_g24395_i1	SPADES.k25.NODE_48614_length_635_cov_45.222951_g24395_i1^CARP1_ARATH^EF-hand_8
SPADES.k25.NODE_48616_length_635_cov_39.234426_g25003_i0	SPADES.k25.NODE_48616_length_635_cov_39.234426_g25003_i0^HMGB2_ARATH^HMG_box_2
SPADES.k25.NODE_48641_length_634_cov_78.847291_g25026_i0	SPADES.k25.NODE_48641_length_634_cov_78.847291_g25026_i0^HAT22_ARATH^HALZ
SPADES.k25.NODE_48650_length_634_cov_57.024631_g25031_i0	SPADES.k25.NODE_48650_length_634_cov_57.024631_g25031_i0^KTN82_ARATH^Katanin_con80
SPADES.k25.NODE_48667_length_634_cov_11.617406_g25046_i0	SPADES.k25.NODE_48667_length_634_cov_11.617406_g25046_i0^DCR_ARATH^Transferase
SPADES.k25.NODE_48670_length_634_cov_5.361248_g25049_i0	SPADES.k25.NODE_48670_length_634_cov_5.361248_g25049_i0^Retrotrans_gag
SPADES.k25.NODE_48736_length_632_cov_28.981878_g25091_i0	SPADES.k25.NODE_48736_length_632_cov_28.981878_g25091_i0^LRR_1
SPADES.k25.NODE_48754_length_631_cov_104.308581_g25108_i0	SPADES.k25.NODE_48754_length_631_cov_104.308581_g25108_i0^ARG7_VIGRR
SPADES.k25.NODE_48776_length_631_cov_35.419142_g25120_i0	SPADES.k25.NODE_48776_length_631_cov_35.419142_g25120_i0^BIR2_ARATH^LRRNT_2
SPADES.k25.NODE_48799_length_630_cov_84.680992_g25138_i0	SPADES.k25.NODE_48799_length_630_cov_84.680992_g25138_i0^SLSG6_BRAOL^B_lectin
SPADES.k25.NODE_48818_length_630_cov_23.639669_g25150_i0	SPADES.k25.NODE_48818_length_630_cov_23.639669_g25150_i0^EIX2_SOLLC^LRRNT_2
SPADES.k25.NODE_48822_length_630_cov_12.528926_g25154_i0	SPADES.k25.NODE_48822_length_630_cov_12.528926_g25154_i0^Y3471_ARATH
SPADES.k25.NODE_48848_length_629_cov_33.385762_g25170_i0	SPADES.k25.NODE_48848_length_629_cov_33.385762_g25170_i0^F3GGT_ACTCC
SPADES.k25.NODE_48851_length_629_cov_28.038079_g25173_i0	SPADES.k25.NODE_48851_length_629_cov_28.038079_g25173_i0^RVT_3
SPADES.k25.NODE_48853_length_629_cov_23.905629_g25175_i0	SPADES.k25.NODE_48853_length_629_cov_23.905629_g25175_i0^NSH3_ARATH^IU_nuc_hydro
SPADES.k25.NODE_48858_length_629_cov_4.706954_g25180_i0	SPADES.k25.NODE_48858_length_629_cov_4.706954_g25180_i0^PP122_ARATH^PPR
SPADES.k25.NODE_4885_length_2891_cov_63.564899_g2728_i0	SPADES.k25.NODE_4885_length_2891_cov_63.564899_g2728_i0^PP255_ARATH^PPR
SPADES.k25.NODE_48881_length_628_cov_36.842454_g25193_i0	SPADES.k25.NODE_48881_length_628_cov_36.842454_g25193_i0^WTR10_ARATH^EamA
SPADES.k25.NODE_48888_length_628_cov_13.199005_g25200_i0	SPADES.k25.NODE_48888_length_628_cov_13.199005_g25200_i0^LIVH_METJA^BPD_transp_2
SPADES.k25.NODE_48890_length_628_cov_9.855721_g25202_i0	SPADES.k25.NODE_48890_length_628_cov_9.855721_g25202_i0^RQL4A_ARATH^DEAD
SPADES.k25.NODE_4889_length_2890_cov_98.413264_g2730_i0	SPADES.k25.NODE_4889_length_2890_cov_98.413264_g2730_i0^SBT17_ARATH^Inhibitor_I9
SPADES.k25.NODE_488_length_5004_cov_82.528419_g301_i0	SPADES.k25.NODE_488_length_5004_cov_82.528419_g301_i0^CABIN_ARATH
SPADES.k25.NODE_48917_length_627_cov_39.820598_g25223_i0	SPADES.k25.NODE_48917_length_627_cov_39.820598_g25223_i0^PP341_ARATH^PPR
SPADES.k25.NODE_4891_length_2890_cov_81.108901_g2428_i1	SPADES.k25.NODE_4891_length_2890_cov_81.108901_g2428_i1^TTL1_ARATH^TPR_16
SPADES.k25.NODE_48944_length_626_cov_74.564060_g25243_i0	SPADES.k25.NODE_48944_length_626_cov_74.564060_g25243_i0^CAMT_MEDSA^Methyltransf_3
SPADES.k25.NODE_48957_length_626_cov_38.945092_g25254_i0	SPADES.k25.NODE_48957_length_626_cov_38.945092_g25254_i0^Y3720_ARATH^DUF247
SPADES.k25.NODE_48967_length_626_cov_7.780366_g25264_i0	SPADES.k25.NODE_48967_length_626_cov_7.780366_g25264_i0^LOX5_ARATH^Lipoxygenase
SPADES.k25.NODE_48999_length_625_cov_18.931667_g25287_i0	SPADES.k25.NODE_48999_length_625_cov_18.931667_g25287_i0^HEAT1_ARATH^U3snoRNP10
SPADES.k25.NODE_48_length_7833_cov_101.871414_g32_i0	SPADES.k25.NODE_48_length_7833_cov_101.871414_g32_i0^RPS2_ARATH^NB-ARC
SPADES.k25.NODE_49105_length_622_cov_34.338358_g23078_i1	SPADES.k25.NODE_49105_length_622_cov_34.338358_g23078_i1^RPP7_ARATH^Rx_N
SPADES.k25.NODE_49164_length_620_cov_75.981513_g25398_i0	SPADES.k25.NODE_49164_length_620_cov_75.981513_g25398_i0^1433A_SOYBN
SPADES.k25.NODE_49200_length_619_cov_77.069024_g25430_i0	SPADES.k25.NODE_49200_length_619_cov_77.069024_g25430_i0^SQE2_PANGI^SE
SPADES.k25.NODE_49218_length_619_cov_32.579125_g25442_i0	SPADES.k25.NODE_49218_length_619_cov_32.579125_g25442_i0^GHR1_ARATH^LRRNT_2
SPADES.k25.NODE_49226_length_619_cov_12.336700_g25449_i0	SPADES.k25.NODE_49226_length_619_cov_12.336700_g25449_i0^PLA15_ARATH
SPADES.k25.NODE_49229_length_619_cov_7.737374_g25452_i0	SPADES.k25.NODE_49229_length_619_cov_7.737374_g25452_i0^gag_pre-integrs
SPADES.k25.NODE_49237_length_618_cov_109.148398_g25460_i0	SPADES.k25.NODE_49237_length_618_cov_109.148398_g25460_i0^RS154_ARATH^Ribosomal_S19
SPADES.k25.NODE_49266_length_618_cov_19.053963_g25481_i0	SPADES.k25.NODE_49266_length_618_cov_19.053963_g25481_i0^LRR_1
SPADES.k25.NODE_49267_length_618_cov_18.537943_g25482_i0	SPADES.k25.NODE_49267_length_618_cov_18.537943_g25482_i0^CDT1A_ARATH^CDT1
SPADES.k25.NODE_49273_length_618_cov_8.303541_g25488_i0	SPADES.k25.NODE_49273_length_618_cov_8.303541_g25488_i0^Exo_endo_phos
SPADES.k25.NODE_49302_length_617_cov_15.454392_g25507_i0	SPADES.k25.NODE_49302_length_617_cov_15.454392_g25507_i0^DUF247
SPADES.k25.NODE_49304_length_617_cov_9.219595_g25509_i0	SPADES.k25.NODE_49304_length_617_cov_9.219595_g25509_i0^HMA4_ARATH^HMA
SPADES.k25.NODE_49324_length_616_cov_60.350254_g25523_i0	SPADES.k25.NODE_49324_length_616_cov_60.350254_g25523_i0^CNGC6_ARATH
SPADES.k25.NODE_49369_length_615_cov_37.030508_g25560_i0	SPADES.k25.NODE_49369_length_615_cov_37.030508_g25560_i0^NB-ARC
SPADES.k25.NODE_49385_length_614_cov_121.074703_g25576_i0	SPADES.k25.NODE_49385_length_614_cov_121.074703_g25576_i0^RL363_ARATH^Ribosomal_L36e
SPADES.k25.NODE_49424_length_613_cov_146.880952_g25608_i0	SPADES.k25.NODE_49424_length_613_cov_146.880952_g25608_i0^CALM_WHEAT
SPADES.k25.NODE_4944_length_2881_cov_76.532563_g2757_i0	SPADES.k25.NODE_4944_length_2881_cov_76.532563_g2757_i0^NU133_ARATH
SPADES.k25.NODE_49453_length_613_cov_22.335034_g25627_i0	SPADES.k25.NODE_49453_length_613_cov_22.335034_g25627_i0^EXP13_ARATH^DPBB_1
SPADES.k25.NODE_49462_length_613_cov_10.263605_g25636_i0	SPADES.k25.NODE_49462_length_613_cov_10.263605_g25636_i0^P2C72_ARATH^PP2C
SPADES.k25.NODE_49477_length_612_cov_78.732538_g25647_i0	SPADES.k25.NODE_49477_length_612_cov_78.732538_g25647_i0^RS202_ARATH^Ribosomal_S10
SPADES.k25.NODE_49479_length_612_cov_63.545145_g25649_i0	SPADES.k25.NODE_49479_length_612_cov_63.545145_g25649_i0^CESA7_ARATH
SPADES.k25.NODE_49488_length_612_cov_43.921635_g25654_i0	SPADES.k25.NODE_49488_length_612_cov_43.921635_g25654_i0^SBT4_LOTJA^fn3_6
SPADES.k25.NODE_49495_length_612_cov_27.916525_g25661_i0	SPADES.k25.NODE_49495_length_612_cov_27.916525_g25661_i0^PP147_ARATH^DYW_deaminase
SPADES.k25.NODE_49509_length_612_cov_8.040886_g25674_i0	SPADES.k25.NODE_49509_length_612_cov_8.040886_g25674_i0^PP377_ARATH^PPR
SPADES.k25.NODE_4955_length_2879_cov_97.076034_g2024_i1	SPADES.k25.NODE_4955_length_2879_cov_97.076034_g2024_i1^SBT17_ARATH^Inhibitor_I9
SPADES.k25.NODE_49587_length_609_cov_51.964041_g25737_i0	SPADES.k25.NODE_49587_length_609_cov_51.964041_g25737_i0^DUF3511
SPADES.k25.NODE_49591_length_609_cov_42.544521_g25741_i0	SPADES.k25.NODE_49591_length_609_cov_42.544521_g25741_i0^BZP11_ARATH^bZIP_1
SPADES.k25.NODE_49594_length_609_cov_30.198630_g25744_i0	SPADES.k25.NODE_49594_length_609_cov_30.198630_g25744_i0^POLX_TOBAC^RVT_2
SPADES.k25.NODE_49597_length_609_cov_22.720890_g25747_i0	SPADES.k25.NODE_49597_length_609_cov_22.720890_g25747_i0^PP231_ARATH^PPR
SPADES.k25.NODE_4962_length_2877_cov_62.790323_g2766_i0	SPADES.k25.NODE_4962_length_2877_cov_62.790323_g2766_i0^CLV2_ARATH^LRRNT_2^LRR_1
SPADES.k25.NODE_49653_length_608_cov_14.295026_g25794_i0	SPADES.k25.NODE_49653_length_608_cov_14.295026_g25794_i0^zf-RanBP
SPADES.k25.NODE_49663_length_607_cov_178.802405_g25804_i0	SPADES.k25.NODE_49663_length_607_cov_178.802405_g25804_i0^UBI1P_NICSY^LRR_6
SPADES.k25.NODE_49664_length_607_cov_152.249141_g25805_i0	SPADES.k25.NODE_49664_length_607_cov_152.249141_g25805_i0^RS27A_LUPAL^ubiquitin
SPADES.k25.NODE_49665_length_607_cov_107.986254_g12177_i1	SPADES.k25.NODE_49665_length_607_cov_107.986254_g12177_i1^ACP4_ARATH^PP-binding
SPADES.k25.NODE_49693_length_607_cov_12.654639_g25824_i0	SPADES.k25.NODE_49693_length_607_cov_12.654639_g25824_i0^DTX35_ARATH^MatE
SPADES.k25.NODE_49695_length_607_cov_8.374570_g25826_i0	SPADES.k25.NODE_49695_length_607_cov_8.374570_g25826_i0^C71A6_NEPRA^p450
SPADES.k25.NODE_496_length_4969_cov_58.340615_g289_i1	SPADES.k25.NODE_496_length_4969_cov_58.340615_g289_i1^SUVR5_ARATH^zf-C2H2_3rep
SPADES.k25.NODE_49726_length_606_cov_29.342513_g25846_i0	SPADES.k25.NODE_49726_length_606_cov_29.342513_g25846_i0^NORK_MEDTR
SPADES.k25.NODE_49749_length_605_cov_67.450000_g14158_i1	SPADES.k25.NODE_49749_length_605_cov_67.450000_g14158_i1^XTH6_DIOKA^Glyco_hydro_16
SPADES.k25.NODE_49750_length_605_cov_63.331034_g25864_i0	SPADES.k25.NODE_49750_length_605_cov_63.331034_g25864_i0^PROA_RHIWR
SPADES.k25.NODE_49765_length_605_cov_30.056897_g25876_i0	SPADES.k25.NODE_49765_length_605_cov_30.056897_g25876_i0^COAD_ARATH
SPADES.k25.NODE_49773_length_605_cov_5.562069_g25884_i0	SPADES.k25.NODE_49773_length_605_cov_5.562069_g25884_i0^LRR_1
SPADES.k25.NODE_4977_length_2875_cov_79.350175_g2774_i0	SPADES.k25.NODE_4977_length_2875_cov_79.350175_g2774_i0^MCTP1_RAT^C2
SPADES.k25.NODE_49802_length_604_cov_14.588946_g25909_i0	SPADES.k25.NODE_49802_length_604_cov_14.588946_g25909_i0^SRL2_ORYSJ^WD40_4
SPADES.k25.NODE_49827_length_603_cov_49.461938_g25926_i0	SPADES.k25.NODE_49827_length_603_cov_49.461938_g25926_i0^R35A3_ARATH^Ribosomal_L35Ae
SPADES.k25.NODE_49843_length_603_cov_9.515571_g25939_i0	SPADES.k25.NODE_49843_length_603_cov_9.515571_g25939_i0^PME68_ARATH
SPADES.k25.NODE_49851_length_602_cov_102.235702_g25945_i0	SPADES.k25.NODE_49851_length_602_cov_102.235702_g25945_i0^AGP41_ARATH
SPADES.k25.NODE_49870_length_602_cov_35.790295_g25952_i0	SPADES.k25.NODE_49870_length_602_cov_35.790295_g25952_i0^GPCR_chapero_1
SPADES.k25.NODE_49871_length_602_cov_32.724437_g25953_i0	SPADES.k25.NODE_49871_length_602_cov_32.724437_g25953_i0^TF211_SCHPO
SPADES.k25.NODE_49926_length_600_cov_86.013913_g25996_i0	SPADES.k25.NODE_49926_length_600_cov_86.013913_g25996_i0^RADL1_ARATH
SPADES.k25.NODE_49940_length_600_cov_30.780870_g26005_i0	SPADES.k25.NODE_49940_length_600_cov_30.780870_g26005_i0^PP345_ARATH^PPR
SPADES.k25.NODE_49978_length_599_cov_35.458188_g26034_i0	SPADES.k25.NODE_49978_length_599_cov_35.458188_g26034_i0^SEOC_ARATH
SPADES.k25.NODE_49986_length_599_cov_23.865854_g26042_i0	SPADES.k25.NODE_49986_length_599_cov_23.865854_g26042_i0^EBF1_ARATH
SPADES.k25.NODE_50016_length_598_cov_56.097731_g26063_i0	SPADES.k25.NODE_50016_length_598_cov_56.097731_g26063_i0^C7A12_PANGI^p450
SPADES.k25.NODE_50017_length_598_cov_46.528796_g26064_i0	SPADES.k25.NODE_50017_length_598_cov_46.528796_g26064_i0^PADRE
SPADES.k25.NODE_50026_length_598_cov_18.998255_g26073_i0	SPADES.k25.NODE_50026_length_598_cov_18.998255_g26073_i0^UBC4_SOLLC^UQ_con
SPADES.k25.NODE_50029_length_598_cov_13.729494_g26076_i0	SPADES.k25.NODE_50029_length_598_cov_13.729494_g26076_i0^ATMB_SALTY^Hydrolase
SPADES.k25.NODE_50046_length_597_cov_56.073427_g26088_i0	SPADES.k25.NODE_50046_length_597_cov_56.073427_g26088_i0^BCAT2_HUMLU
SPADES.k25.NODE_5004_length_2869_cov_79.892757_g2788_i0	SPADES.k25.NODE_5004_length_2869_cov_79.892757_g2788_i0^DIM_PEA^FAD_binding_4
SPADES.k25.NODE_50064_length_597_cov_30.503497_g26103_i0	SPADES.k25.NODE_50064_length_597_cov_30.503497_g26103_i0^Transpos_assoc
SPADES.k25.NODE_50069_length_597_cov_19.730769_g26107_i0	SPADES.k25.NODE_50069_length_597_cov_19.730769_g26107_i0^GIP1_ARATH^GIP1_N
SPADES.k25.NODE_50087_length_596_cov_57.577933_g26118_i0	SPADES.k25.NODE_50087_length_596_cov_57.577933_g26118_i0^INV1_PEA^Glyco_hydro_32C
SPADES.k25.NODE_50101_length_596_cov_13.429072_g26130_i0	SPADES.k25.NODE_50101_length_596_cov_13.429072_g26130_i0^CSLB4_ARATH^Cellulose_synt
SPADES.k25.NODE_50126_length_595_cov_33.822807_g26150_i0	SPADES.k25.NODE_50126_length_595_cov_33.822807_g26150_i0^UGDH1_SOYBN^UDPG_MGDP_dh_C
SPADES.k25.NODE_50129_length_595_cov_23.401754_g26153_i0	SPADES.k25.NODE_50129_length_595_cov_23.401754_g26153_i0^PUB7_ARATH
SPADES.k25.NODE_50139_length_595_cov_9.522807_g26163_i0	SPADES.k25.NODE_50139_length_595_cov_9.522807_g26163_i0^PER5_VITVI^peroxidase
SPADES.k25.NODE_50172_length_594_cov_12.660808_g26187_i0	SPADES.k25.NODE_50172_length_594_cov_12.660808_g26187_i0^ASP1_ORYSJ^TAXi_N
SPADES.k25.NODE_50182_length_593_cov_89.901408_g26196_i0	SPADES.k25.NODE_50182_length_593_cov_89.901408_g26196_i0^GLYI4_ARATH^Glyoxalase
SPADES.k25.NODE_50195_length_593_cov_45.049296_g26202_i0	SPADES.k25.NODE_50195_length_593_cov_45.049296_g26202_i0^Y005_SYNY3^ABC1
SPADES.k25.NODE_50204_length_593_cov_19.500000_g26210_i0	SPADES.k25.NODE_50204_length_593_cov_19.500000_g26210_i0^SPSA4_ARATH^Sucrose_synth
SPADES.k25.NODE_50224_length_592_cov_23.292769_g26228_i0	SPADES.k25.NODE_50224_length_592_cov_23.292769_g26228_i0^ACA4_ARATH^ACA11_ARATH^CaATP_NAI
SPADES.k25.NODE_50226_length_592_cov_22.680776_g26230_i0	SPADES.k25.NODE_50226_length_592_cov_22.680776_g26230_i0^SF3B6_ARATH^RRM_5
SPADES.k25.NODE_50260_length_591_cov_49.946996_g26257_i0	SPADES.k25.NODE_50260_length_591_cov_49.946996_g26257_i0^GDL17_ARATH^Lipase_GDSL
SPADES.k25.NODE_50273_length_591_cov_10.123675_g26270_i0	SPADES.k25.NODE_50273_length_591_cov_10.123675_g26270_i0^SM3L2_ARATH
SPADES.k25.NODE_50282_length_590_cov_95.559292_g26277_i0	SPADES.k25.NODE_50282_length_590_cov_95.559292_g26277_i0^Y2309_ARATH
SPADES.k25.NODE_50285_length_590_cov_86.375221_g15919_i2	SPADES.k25.NODE_50285_length_590_cov_86.375221_g15919_i2^TRXH1_TOBAC
SPADES.k25.NODE_50288_length_590_cov_81.582301_g8742_i3	SPADES.k25.NODE_50288_length_590_cov_81.582301_g8742_i3^IF414_TOBAC
SPADES.k25.NODE_50298_length_590_cov_30.766372_g26285_i0	SPADES.k25.NODE_50298_length_590_cov_30.766372_g26285_i0^TRXH8_ARATH
SPADES.k25.NODE_50299_length_590_cov_30.483186_g26286_i0	SPADES.k25.NODE_50299_length_590_cov_30.483186_g26286_i0^FHUB_ECOLI^FecCD
SPADES.k25.NODE_50302_length_590_cov_21.900885_g26289_i0	SPADES.k25.NODE_50302_length_590_cov_21.900885_g26289_i0^NAP1_SOLLC
SPADES.k25.NODE_50303_length_590_cov_21.138053_g26290_i0	SPADES.k25.NODE_50303_length_590_cov_21.138053_g26290_i0^CAHC_PEA^Pro_CA
SPADES.k25.NODE_50330_length_589_cov_49.609929_g26314_i0	SPADES.k25.NODE_50330_length_589_cov_49.609929_g26314_i0^HIP39_ARATH
SPADES.k25.NODE_50333_length_589_cov_41.484043_g26317_i0	SPADES.k25.NODE_50333_length_589_cov_41.484043_g26317_i0^CALM_WHEAT^EF-hand_8
SPADES.k25.NODE_50340_length_589_cov_31.891844_g26322_i0	SPADES.k25.NODE_50340_length_589_cov_31.891844_g26322_i0^AFT
SPADES.k25.NODE_50342_length_589_cov_27.437943_g26324_i0	SPADES.k25.NODE_50342_length_589_cov_27.437943_g26324_i0^PTM_ARATH^WHIM1
SPADES.k25.NODE_50346_length_589_cov_24.755319_g26328_i0	SPADES.k25.NODE_50346_length_589_cov_24.755319_g26328_i0^E70B1_ARATH
SPADES.k25.NODE_50354_length_589_cov_11.781915_g26336_i0	SPADES.k25.NODE_50354_length_589_cov_11.781915_g26336_i0^G3OX_PEA^2OG-FeII_Oxy
SPADES.k25.NODE_50359_length_588_cov_127.820604_g26341_i0	SPADES.k25.NODE_50359_length_588_cov_127.820604_g26341_i0^H2B3_SOLLC^Histone
SPADES.k25.NODE_503_length_4952_cov_73.860767_g308_i0	SPADES.k25.NODE_503_length_4952_cov_73.860767_g308_i0^CMTA4_ARATH^NTF2B_ARATH^CG-1^NTF2
SPADES.k25.NODE_50406_length_587_cov_16.827402_g26380_i0	SPADES.k25.NODE_50406_length_587_cov_16.827402_g26380_i0^YI31B_YEAST
SPADES.k25.NODE_50407_length_587_cov_16.784698_g26381_i0	SPADES.k25.NODE_50407_length_587_cov_16.784698_g26381_i0^BGA14_ARATH^Glyco_hydro_35
SPADES.k25.NODE_50413_length_586_cov_94.310160_g26386_i0	SPADES.k25.NODE_50413_length_586_cov_94.310160_g26386_i0^ASTER_ARATH^ASTER
SPADES.k25.NODE_50436_length_586_cov_20.862745_g26404_i0	SPADES.k25.NODE_50436_length_586_cov_20.862745_g26404_i0^NSP2_MEDTR
SPADES.k25.NODE_50444_length_586_cov_11.814617_g26412_i0	SPADES.k25.NODE_50444_length_586_cov_11.814617_g26412_i0^MCM6_ARATH^MCM_N
SPADES.k25.NODE_50448_length_586_cov_8.007130_g26415_i0	SPADES.k25.NODE_50448_length_586_cov_8.007130_g26415_i0^PPR73_ARATH^PPR
SPADES.k25.NODE_50476_length_585_cov_28.628571_g26436_i0	SPADES.k25.NODE_50476_length_585_cov_28.628571_g26436_i0^MTEFH_ARATH
SPADES.k25.NODE_50506_length_584_cov_72.513417_g26463_i0	SPADES.k25.NODE_50506_length_584_cov_72.513417_g26463_i0^RS252_ARATH
SPADES.k25.NODE_50512_length_584_cov_41.645796_g26467_i0	SPADES.k25.NODE_50512_length_584_cov_41.645796_g26467_i0^GR1_ARATH
SPADES.k25.NODE_50521_length_584_cov_15.449016_g26474_i0	SPADES.k25.NODE_50521_length_584_cov_15.449016_g26474_i0^PP111_ARATH^PPR
SPADES.k25.NODE_50536_length_583_cov_77.017921_g26488_i0	SPADES.k25.NODE_50536_length_583_cov_77.017921_g26488_i0^UGT2_GARJA^UDPGT
SPADES.k25.NODE_50542_length_583_cov_38.652330_g26493_i0	SPADES.k25.NODE_50542_length_583_cov_38.652330_g26493_i0^LRRNT_2
SPADES.k25.NODE_50551_length_583_cov_14.600358_g26502_i0	SPADES.k25.NODE_50551_length_583_cov_14.600358_g26502_i0^WAV3_ARATH^zf-RING_11
SPADES.k25.NODE_50560_length_582_cov_95.407540_g26511_i0	SPADES.k25.NODE_50560_length_582_cov_95.407540_g26511_i0^B12D
SPADES.k25.NODE_50590_length_582_cov_12.886894_g26533_i0	SPADES.k25.NODE_50590_length_582_cov_12.886894_g26533_i0^Y1571_ARATH
SPADES.k25.NODE_50620_length_581_cov_26.791367_g26557_i0	SPADES.k25.NODE_50620_length_581_cov_26.791367_g26557_i0^HSP7C_PETHY^HSP70
SPADES.k25.NODE_50627_length_581_cov_13.131295_g26564_i0	SPADES.k25.NODE_50627_length_581_cov_13.131295_g26564_i0^GPCR_chapero_1
SPADES.k25.NODE_50629_length_581_cov_8.672662_g26566_i0	SPADES.k25.NODE_50629_length_581_cov_8.672662_g26566_i0^PIEZO_ARATH
SPADES.k25.NODE_50686_length_579_cov_71.413357_g26610_i0	SPADES.k25.NODE_50686_length_579_cov_71.413357_g26610_i0^DUF4408
SPADES.k25.NODE_50709_length_578_cov_150.708861_g26630_i0	SPADES.k25.NODE_50709_length_578_cov_150.708861_g26630_i0^YCX91_PHAAO
SPADES.k25.NODE_5071_length_2856_cov_76.186153_g2829_i0	SPADES.k25.NODE_5071_length_2856_cov_76.186153_g2829_i0^UN933_ARATH^UNC-93
SPADES.k25.NODE_50726_length_578_cov_39.379747_g26640_i0	SPADES.k25.NODE_50726_length_578_cov_39.379747_g26640_i0^DTX49_ARATH^MatE
